attributeName	code	definition
Cattail	below threshold	threshold
Cattail	MFGtS	MFGts
Cattail	none	none
Cell_Shape	50m x 50m grid cell	size of sampling cell
Exotics	EcST	Exotics_test
Exotics	ElS	Exotics_test
Exotics	EmS	Exotics_test
Exotics	EsD	Exotics_test
Exotics	EsS	Exotics_test
Exotics	"EsS, ElS"	Exotics_test
Notes	11% bayhead species in entire cell	Notes outside of data collection
Notes	40% conere cover in shrub layer	Notes outside of data collection
Notes	48% shrub cover and 12% herb cover	Notes outside of data collection
Notes	A lot of snags probably cold burned.	Notes outside of data collection
Notes	Bayhead species 30% of shrub layer	Notes outside of data collection
Notes	Bayhead species 40% in shrub layer	Notes outside of data collection
Notes	Bayhead species 40% of shrub layer	Notes outside of data collection
Notes	Between tram roads.	Notes outside of data collection
Notes	Borderline CMrGe with clajam patches.	Notes outside of data collection
Notes	Borderline FSBT. May be good site for Chromolaena frustrata.	Notes outside of data collection
Notes	Borderline MFO with only 15perc veg. Lots of periphyton.	Notes outside of data collection
Notes	Borderline SMr. There are patches of clajam but majority is open.	Notes outside of data collection
Notes	Borderline SSBT. Sawgrass overestimated	Notes outside of data collection
Notes	Burned about a year ago.	Notes outside of data collection
Notes	Burned.	Notes outside of data collection
Notes	Burned. A lot of exotic lygmic in area around cell.	Notes outside of data collection
Notes	Burned. Lygmic cover 4.5%.	Notes outside of data collection
Notes	Bushes of dead lagrac possibly cold damaged. Imagery may look like CMl or CMlGn.	Notes outside of data collection
Notes	Clajam cover is 18%	Notes outside of data collection
Notes	Classified land. Dominant feature is the water	Notes outside of data collection
Notes	Clumped chrica on NE.	Notes outside of data collection
Notes	CMcGc understory.	Notes outside of data collection
Notes	CMrGe acceptable.	Notes outside of data collection
Notes	CMrO code overrides WMcO found here.	Notes outside of data collection
Notes	CMXcr also acceptable	Notes outside of data collection
Notes	conere overestimated. Only 5% bayhead species	Notes outside of data collection
Notes	Creeks with rhiman myrcer 30perc.	Notes outside of data collection
Notes	CSBGc also acceptable	Notes outside of data collection
Notes	CSBT also acceptable based on a height of 2m.	Notes outside of data collection
Notes	CSBT also acceptable due to 50% open water cover.	Notes outside of data collection
Notes	CShGc because cepocc 50perc of shrub layer. CSBGc acceptable with 45perc bayhead spp. Exotic melqui below threshold.	Notes outside of data collection
Notes	CSW and CSWGc acceptable. There is 20% typha cover in cell.	Notes outside of data collection
Notes	Cypress dome on S.	Notes outside of data collection
Notes	Dead conere is resprouting. Exotic schter below threshold.	Notes outside of data collection
Notes	Dead lagrac with dead tops and resprouts.	Notes outside of data collection
Notes	Deep water marsh with floating periphyton mat. Large patch of rhytra on NW.	Notes outside of data collection
Notes	Did not take NE photo.	Notes outside of data collection
Notes	Edge of forest on W is mettox serrep chrica. MFGX clajam elecel understory.	Notes outside of data collection
Notes	Edge of tree island on S.	Notes outside of data collection
Notes	Edge of tree island on SE.	Notes outside of data collection
Notes	erigig gives the herb height 2m. The sawgrass is less than 2m in height. Helpin and erigig are the only prairie species.	Notes outside of data collection
Notes	Even mix of bayhead and mangrove species	Notes outside of data collection
Notes	Excluded MFO patches. Patch of forest on E. SSBT code overrides WSH found here.	Notes outside of data collection
Notes	Exotic lygmic 5perc of cell. Shrubland with some emergent trees	Notes outside of data collection
Notes	Exotic lygmic returning to this burned area.	Notes outside of data collection
Notes	Exotic melqui 25perc of cell and casequi below threshold.	Notes outside of data collection
Notes	Exotic melqui 30perc of cell.	Notes outside of data collection
Notes	Exotic melqui below threshold. Stand of typdom to N.	Notes outside of data collection
Notes	Exotic schter 18perc of cell.	Notes outside of data collection
Notes	Exotic schter 83perc of cell. Found 83perc schter 17myrcer shrubland with emergent trees.	Notes outside of data collection
Notes	Exotic schter below threshold.	Notes outside of data collection
Notes	FHq because quevir 80perc of cell.	Notes outside of data collection
Notes	FHq on N.	Notes outside of data collection
Notes	Filamentous green algae present. Only 5% herb cover	Notes outside of data collection
Notes	FMa acceptable.	Notes outside of data collection
Notes	FMc accebtable. Trees 60perc conere 40perc bayhead spp.	Notes outside of data collection
Notes	FMr acceptable.	Notes outside of data collection
Notes	FMX acceptable.	Notes outside of data collection
Notes	FMXar acceptable.	Notes outside of data collection
Notes	Forest is the dominant feature	Notes outside of data collection
Notes	Found 15perc old dead snags.	Notes outside of data collection
Notes	Found 15perc ONWo. FMr acceptable	Notes outside of data collection
Notes	Found 15perc ONWo. Only 12% herb cover. Scrub based on height.	Notes outside of data collection
Notes	Found 20 junroe marsh. Half of the shrub cover is bayhead species.	Notes outside of data collection
