geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
AA10006	25.7532596462812	25.7532596462812	-80.8583449466573	-80.8583449466573
AA10054	25.7455632635926	25.7455632635926	-80.8384124011156	-80.8384124011156
AA10050	25.7419539499398	25.7419539499398	-80.8409099160191	-80.8409099160191
AA10043	25.7135168967575	25.7135168967575	-80.848423874684	-80.848423874684
AA10037	25.7022238911477	25.7022238911477	-80.8434545676898	-80.8434545676898
AA10029	25.6914019522718	25.6914019522718	-80.8574215699843	-80.8574215699843
AA10011	25.6597530146347	25.6597530146347	-80.8186008401796	-80.8186008401796
AA10089	25.6380563667516	25.6380563667516	-80.800204170572	-80.800204170572
AA10010	25.6578789307375	25.6578789307375	-80.770280620925	-80.770280620925
AA10014	25.6687282645405	25.6687282645405	-80.7787295817918	-80.7787295817918
AA10045	25.7161703789654	25.7161703789654	-80.8020675554683	-80.8020675554683
AA10046	25.7202359728562	25.7202359728562	-80.8035561336215	-80.8035561336215
AA10005	25.7518434593445	25.7518434593445	-80.8049998740699	-80.8049998740699
AA10007	25.7554108237908	25.7554108237908	-80.7740819695194	-80.7740819695194
AA10001	25.7472829597935	25.7472829597935	-80.7735987965304	-80.7735987965304
AA10004	25.7494008816114	25.7494008816114	-80.6968172224621	-80.6968172224621
AA10003	25.7480411639108	25.7480411639108	-80.6943279295837	-80.6943279295837
AA10051	25.7430566056969	25.7430566056969	-80.6858657097033	-80.6858657097033
AA10047	25.7340590536418	25.7340590536418	-80.7013425660445	-80.7013425660445
AA10044	25.7133498894317	25.7133498894317	-80.7322953821074	-80.7322953821074
AA10030	25.6930570322526	25.6930570322526	-80.746293752254	-80.746293752254
AA10025	25.6844986862344	25.6844986862344	-80.7582707353205	-80.7582707353205
AA10027	25.6862548916004	25.6862548916004	-80.7298645086896	-80.7298645086896
AA10022	25.681722934251	25.681722934251	-80.7209058082183	-80.7209058082183
AA10038	25.7042315913651	25.7042315913651	-80.6879611533271	-80.6879611533271
AA10021	25.681204814747	25.681204814747	-80.6880211540869	-80.6880211540869
AA10019	25.675358254145	25.675358254145	-80.6989977887496	-80.6989977887496
AA10013	25.6681310493052	25.6681310493052	-80.6975212904212	-80.6975212904212
AA10017	25.6731765930305	25.6731765930305	-80.7383640410801	-80.7383640410801
AA10015	25.6713705582894	25.6713705582894	-80.7383679836379	-80.7383679836379
AA10091	25.6434121092086	25.6434121092086	-80.7588516731891	-80.7588516731891
AA10095	25.6488074115905	25.6488074115905	-80.7453911247083	-80.7453911247083
AA10088	25.635702171384	25.635702171384	-80.7389438524362	-80.7389438524362
AA10093	25.6419352712813	25.6419352712813	-80.6936024871699	-80.6936024871699
AA10086	25.6328806179563	25.6328806179563	-80.6821700018033	-80.6821700018033
AA10082	25.621142459933	25.621142459933	-80.6826990859771	-80.6826990859771
AA10074	25.6076057492178	25.6076057492178	-80.6867185453342	-80.6867185453342
AA10080	25.618969740533	25.618969740533	-80.7245378473642	-80.7245378473642
AA10083	25.6244161642805	25.6244161642805	-80.739964459093	-80.739964459093
AA10073	25.6063512251637	25.6063512251637	-80.7375137468626	-80.7375137468626
AA10056	25.5765731147444	25.5765731147444	-80.7500246622241	-80.7500246622241
AA10065	25.5774692866381	25.5774692866381	-80.746040069043	-80.746040069043
AA10058	25.5747523532844	25.5747523532844	-80.7415653298548	-80.7415653298548
AA10059	25.5742829166778	25.5742829166778	-80.7316097769391	-80.7316097769391
AA10136	25.5639008061562	25.5639008061562	-80.733126272925	-80.733126272925
AA10064	25.5765094337941	25.5765094337941	-80.7151761947295	-80.7151761947295
AA10062	25.5751260808859	25.5751260808859	-80.700742375951	-80.700742375951
AA10063	25.5751209694179	25.5751209694179	-80.6982532361538	-80.6982532361538
AA10057	25.572363987516	25.572363987516	-80.6758583037479	-80.6758583037479
AA10130	25.5461860688277	25.5461860688277	-80.6804081300612	-80.6804081300612
AA10125	25.5435241393964	25.5435241393964	-80.7028116742344	-80.7028116742344
AA10119	25.5285824009982	25.5285824009982	-80.6829429736753	-80.6829429736753
AA10118	25.5209573524769	25.5209573524769	-80.7073457389593	-80.7073457389593
AA10121	25.5272971648901	25.5272971648901	-80.716785393467	-80.716785393467
AA10123	25.5367913780114	25.5367913780114	-80.7232328431894	-80.7232328431894
AA10128	25.5426750070261	25.5426750070261	-80.7306847943093	-80.7306847943093
AA10117	25.5206160556888	25.5206160556888	-80.76904976443	-80.76904976443
AA10122	25.5305934951051	25.5305934951051	-80.798889582545	-80.798889582545
AA10126	25.5405441104326	25.5405441104326	-80.8118129305471	-80.8118129305471
AA10115	25.5202744135805	25.5202744135805	-80.8546387536292	-80.8546387536292
AA10137	25.564077664513	25.564077664513	-80.8605593851825	-80.8605593851825
AA10133	25.5495559133533	25.5495559133533	-80.7978624949382	-80.7978624949382
AA10061	25.5753077756124	25.5753077756124	-80.8092694478169	-80.8092694478169
AA10068	25.585249436267	25.585249436267	-80.8157260667946	-80.8157260667946
AA10081	25.6200624066433	25.6200624066433	-80.857008329166	-80.857008329166
AA10134	25.5521996741682	25.5521996741682	-80.7550526192316	-80.7550526192316
AA10129	25.5431709960342	25.5431709960342	-80.7560663680234	-80.7560663680234
AA10218	25.6297955753957	25.6297955753957	-80.7190343845264	-80.7190343845264
AA10085	25.6304230295744	25.6304230295744	-80.8340851080015	-80.8340851080015
AA10278	25.6146194529564	25.6146194529564	-80.8336089382542	-80.8336089382542
AA10279	25.5672319868272	25.5672319868272	-80.8540843167637	-80.8540843167637
AA10216	25.5888713856184	25.5888713856184	-80.8236867616683	-80.8236867616683
AA10217	25.5919901163274	25.5919901163274	-80.7918164080714	-80.7918164080714
AA10070	25.5883779923818	25.5883779923818	-80.7918226592318	-80.7918226592318
