Point_ID,Visit_Date,Transport_Type,Veg_Code,Veg_Code_Name,Overall_Veg_Cover,Overall_Canopy_Height,Percentage_Tree,Percentage_Shrub,Percentage_Herb,Canopy_Tree,Canopy_Shrub,Canopy_Herb,Cattail,Exotics,Cell_Shape,Notes,decimalLongitude,decimalLatitude
AA10006,1/26/2010 0:00,helicopter,MFGcSS,Short Sawgrass Marsh-Sparse,50,1,0,0,100,0,0,1,none,,50m x 50m grid cell,,-80.85834495,25.75325965
AA10054,1/26/2010 0:00,helicopter,MFGcSS,Short Sawgrass Marsh-Sparse,50,1,0,2,98,0,3,1,none,,50m x 50m grid cell,,-80.8384124,25.74556326
AA10050,1/26/2010 0:00,helicopter,MFGcSS,Short Sawgrass Marsh-Sparse,40,1,0,5,95,0,3,1,none,,50m x 50m grid cell,,-80.84090992,25.74195395
AA10043,1/26/2010 0:00,helicopter,MFGr,Beakrush Marsh,50,1,0,0,100,0,0,1,none,,50m x 50m grid cell,,-80.84842387,25.7135169
AA10037,1/26/2010 0:00,helicopter,FSB,Bayhead Forest,100,6,50,30,20,6,3,2,none,,50m x 50m grid cell,,-80.84345457,25.70222389
AA10029,1/26/2010 0:00,helicopter,MFGPh,Black Sedge Prairie,70,1,0,0,100,0,0,1,none,,50m x 50m grid cell,,-80.85742157,25.69140195
AA10011,1/26/2010 0:00,helicopter,MFGcSD,Short Sawgrass Marsh-Dense,60,1,0,2,98,0,0,1,none,,50m x 50m grid cell,,-80.81860084,25.65975301
AA10089,1/26/2010 0:00,helicopter,MFGcTS,Tall Sawgrass Marsh-Sparse,80,2,0,0,100,0,0,2,none,,50m x 50m grid cell,,-80.80020417,25.63805637
AA10010,1/26/2010 0:00,helicopter,MFGcSS,Short Sawgrass Marsh-Sparse,40,1,0,0,100,0,0,1,none,,50m x 50m grid cell,Lots of periphyton.,-80.77028062,25.65787893
AA10014,1/26/2010 0:00,helicopter,MFGcSS,Short Sawgrass Marsh-Sparse,40,1,0,0,100,0,0,1,none,,50m x 50m grid cell,Lots of periphyton.,-80.77872958,25.66872826
AA10045,1/26/2010 0:00,helicopter,MFGcSS,Short Sawgrass Marsh-Sparse,30,1,10,5,85,5,1,1,none,,50m x 50m grid cell,Small edge of tree island.,-80.80206756,25.71617038
AA10046,1/26/2010 0:00,helicopter,MFGcSS,Short Sawgrass Marsh-Sparse,50,1,0,5,95,0,2,1,none,,50m x 50m grid cell,,-80.80355613,25.72023597
AA10005,1/26/2010 0:00,helicopter,MFGcSS,Short Sawgrass Marsh-Sparse,50,1,0,0,100,0,0,1,none,,50m x 50m grid cell,,-80.80499987,25.75184346
AA10007,1/26/2010 0:00,helicopter,MFGXcr,Sawgrass-Rhynchospora Marsh,40,1,0,2,98,0,1,1,none,,50m x 50m grid cell,Mixed clajam rhytra.,-80.77408197,25.75541082
