Point_ID,Vegetation_Layer,Percent_Cover,Species_Code,Scientific_Name,Common_Name
AA30139,Herb,95,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10006,Herb,90,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10006,Herb,5,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10006,Herb,2,casfil,Cassytha filiformis,Love Vine
AA10006,Herb,3,oxyfil,Oxypolis filiformis,Water Cowbane
AA10054,Herb,80,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10054,Herb,20,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10050,Herb,85,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10050,Herb,10,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10050,Herb,5,panhem,Panicum hemitomon,Maidencane
AA10043,Herb,15,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10043,Herb,80,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10043,Herb,2,panvir,Panicum virgatum,Switchgrass
AA10043,Herb,3,casfil,Cassytha filiformis,Love Vine
AA10037,Herb,70,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10037,Herb,20,thagen,Thalia geniculata,Alligatorflag
AA10037,Herb,10,acrdan,Acrostichum danaeifolium,Giant Leather Fern
AA10029,Herb,50,schnig,Schoenus nigricans,Black Bogrush
AA10029,Herb,20,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10029,Herb,15,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10029,Herb,10,schrhi,Schizachyrium rhizomatum,Florida Little Bluestem
AA10011,Herb,85,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10011,Herb,10,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10011,Herb,5,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10089,Herb,60,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10089,Herb,25,rhyinu,Rhynchospora inundata,Narrowfruit Horned Beaksedge
AA10089,Herb,5,saglan,Sagittaria lancifolia,Bulltongue Arrowhead
AA10089,Herb,5,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10089,Herb,5,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10010,Herb,20,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10010,Herb,25,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10010,Herb,50,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10010,Herb,2,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10010,Herb,3,panhem,Panicum hemitomon,Maidencane
AA10014,Herb,85,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10014,Herb,10,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10014,Herb,5,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10045,Herb,80,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10045,Herb,5,panhem,Panicum hemitomon,Maidencane
AA10045,Herb,5,casfil,Cassytha filiformis,Love Vine
AA10045,Herb,10,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10046,Herb,85,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10046,Herb,5,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10046,Herb,10,casfil,Cassytha filiformis,Love Vine
AA10005,Herb,95,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10005,Herb,5,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10007,Herb,30,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10007,Herb,40,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10007,Herb,5,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10007,Herb,10,rhyinu,Rhynchospora inundata,Narrowfruit Horned Beaksedge
AA10007,Herb,10,casfil,Cassytha filiformis,Love Vine
AA10007,Herb,5,panhem,Panicum hemitomon,Maidencane
AA10001,Herb,65,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10001,Herb,30,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10001,Herb,5,casfil,Cassytha filiformis,Love Vine
AA10004,Herb,80,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10004,Herb,15,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10004,Herb,5,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10003,Herb,60,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10003,Herb,30,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10003,Herb,5,utrfol,Utricularia foliosa,Leafy Bladderwort
