name	name_type	name_resolved	authority_system	authority_id
Cladium jamaicense	scientific	Cladium jamaicense	ITIS	39878
Rhynchospora tracyi	scientific	Rhynchospora tracyi	ITIS	40202
Cassytha filiformis	scientific	Cassytha filiformis	ITIS	18173
Oxypolis filiformis	scientific	Oxypolis filiformis	ITIS	29547
Panicum hemitomon	scientific	Panicum hemitomon	ITIS	40909
Panicum virgatum	scientific	Panicum virgatum	ITIS	40913
Thalia geniculata	scientific	Thalia geniculata	ITIS	42429
Acrostichum danaeifolium	scientific	Acrostichum danaeifolium	ITIS	17306
Schoenus nigricans	scientific	Schoenus nigricans	ITIS	40302
Schizachyrium rhizomatum	scientific	Schizachyrium rhizomatum	ITIS	42074
Eleocharis cellulosa	scientific	Eleocharis cellulosa	ITIS	40036
Rhynchospora inundata	scientific	Rhynchospora inundata	ITIS	40182
Sagittaria lancifolia	scientific	Sagittaria lancifolia	ITIS	38923
Utricularia foliosa	scientific	Utricularia foliosa	ITIS	34450
Paspalidium geminatum	scientific	Paspalidium geminatum	ITIS	41997
Crinum americanum	scientific	Crinum americanum	ITIS	182710
Peltandra virginica	scientific	Peltandra virginica	ITIS	42534
Blechnum serrulatum	scientific	Blechnum serrulatum	ITIS	17864
Bacopa caroliniana	scientific	Bacopa caroliniana	ITIS	33039
Nymphaea odorata	scientific	Nymphaea odorata	ITIS	18384
Typha domingensis	scientific	Typha domingensis	ITIS	42327
Pluchea rosea	scientific	Pluchea rosea	ITIS	36067
Muhlenbergia capillaris	scientific	Muhlenbergia capillaris	ITIS	41902
Andropogon virginicus	scientific	Andropogon virginicus	ITIS	40456
Eriocaulon decangulare	scientific	Eriocaulon decangulare	ITIS	39195
Utricularia purpurea	scientific	Utricularia purpurea	ITIS	34461
Pontederia cordata	scientific	Pontederia cordata	ITIS	42620
Symphyotrichum bracei	scientific	Symphyotrichum bracei	ITIS	522186
Hymenocallis palmeri	scientific	Hymenocallis palmeri	ITIS	503112
Catopsis berteroniana	scientific	Catopsis berteroniana	ITIS	42343
Helenium pinnatifidum	scientific	Helenium pinnatifidum	ITIS	36019
Mecardonia acuminata	scientific	Mecardonia acuminata	ITIS	33645
Zamia pumila	scientific	Zamia pumila	ITIS	18019
Paspalum monostachyum	scientific	Paspalum monostachyum	ITIS	41030
Saccharum giganteum	scientific	Saccharum giganteum	ITIS	504933
Nephrolepis exaltata	scientific	Nephrolepis exaltata	ITIS	17605
Spartina bakeri	scientific	Spartina bakeri	ITIS	41273
	scientific	NA	NA	NA
Pteridium aquilinum	scientific	Pteridium aquilinum	ITIS	17224
Potamogeton illinoensis	scientific	Potamogeton illinoensis	ITIS	39035
Ludwigia repens	scientific	Ludwigia repens	ITIS	27362
Centella asiatica	scientific	Centella asiatica	ITIS	29612
Mikania scandens	scientific	Mikania scandens	ITIS	36043
Phragmites australis	scientific	Phragmites australis	ITIS	41072
Neyraudia reynaudiana	scientific	Neyraudia reynaudiana	ITIS	41961
Samolus ebracteatus	scientific	Samolus ebracteatus	ITIS	24040
Cirsium horridulum	scientific	Cirsium horridulum	ITIS	36379
Polygala balduinii	scientific	Polygala balduinii	ITIS	29324
Rhynchospora divergens	scientific	Rhynchospora divergens	ITIS	40167
Aristida purpurascens	scientific	Aristida purpurascens	ITIS	41428
Elytraria caroliniensis	scientific	Elytraria caroliniensis	ITIS	502286
Nymphoides aquatica	scientific	Nymphoides aquatica	ITIS	29996
Utricularia cornuta	scientific	Utricularia cornuta	ITIS	34447
Justicia angusta	scientific	Justicia angusta	ITIS	182329
Osmunda regalis	scientific	Osmunda regalis	ITIS	17218
Kosteletzkya virginica	scientific	Kosteletzkya virginica	ITIS	21655
Asclepias lanceolata	scientific	Asclepias lanceolata	ITIS	30242
Typha latifolia	scientific	Typha latifolia	ITIS	42326
Eupatorium mikanioides	scientific	Eupatorium mikanioides	ITIS	35994
Taxodium distichum	scientific	Taxodium distichum	ITIS	18041
Chrysobalanus icaco	scientific	Chrysobalanus icaco	ITIS	25148
Morella cerifera	scientific	Morella cerifera	ITIS	507899
Ilex cassine	scientific	Ilex cassine	ITIS	27992
Annona glabra	scientific	Annona glabra	ITIS	18101
Salix caroliniana	scientific	Salix caroliniana	ITIS	22516
Magnolia virginiana	scientific	Magnolia virginiana	ITIS	18070
Aeschynomene pratensis	scientific	Aeschynomene pratensis	ITIS	25363
Schinus terebinthifolius	scientific	Schinus terebinthifolius	ITIS	28812
Persea borbonia	scientific	Persea borbonia	ITIS	18149
Rhizophora mangle	scientific	Rhizophora mangle	ITIS	27791
Serenoa repens	scientific	Serenoa repens	ITIS	42508
Metopium toxiferum	scientific	Metopium toxiferum	ITIS	28805
Pinus elliottii	scientific	Pinus elliottii	ITIS	18036
Sabal palmetto	scientific	Sabal palmetto	ITIS	42506
Sideroxylon salicifolium	scientific	Sideroxylon salicifolium	ITIS	505224
Acoelorraphe wrightii	scientific	Acoelorraphe wrightii	ITIS	42434
Myrsine floridana	scientific	Myrsine floridana	ITIS	503913
Conocarpus erectus	scientific	Conocarpus erectus	ITIS	27766
Coccoloba diversifolia	scientific	Coccoloba diversifolia	ITIS	21038
Sideroxylon reclinatum	scientific	Sideroxylon reclinatum	ITIS	505223
Melaleuca quinquenervia	scientific	Melaleuca quinquenervia	ITIS	27228
Stillingia aquatica	scientific	Stillingia aquatica	ITIS	28410
Cephalanthus occidentalis	scientific	Cephalanthus occidentalis	ITIS	34786
Casuarina equisetifolia	scientific	Casuarina equisetifolia	ITIS	19516
Baccharis halimifolia	scientific	Baccharis halimifolia	ITIS	35682
Randia aculeata	scientific	Randia aculeata	ITIS	35131
Solanum donianum	scientific	Solanum donianum	ITIS	30427
Bursera simaruba	scientific	Bursera simaruba	ITIS	28766
Quercus virginiana	scientific	Quercus virginiana	ITIS	19283
Ficus aurea	scientific	Ficus aurea	ITIS	19092
Swietenia mahagoni	scientific	Swietenia mahagoni	ITIS	29026
Lysiloma latisiliquum	scientific	Lysiloma latisiliquum	ITIS	503631
Sideroxylon foetidissimum	scientific	Sideroxylon foetidissimum	ITIS	505218
Simarouba glauca	scientific	Simarouba glauca	ITIS	28844
Avicennia germinans	scientific	Avicennia germinans	ITIS	32137
Laguncularia racemosa	scientific	Laguncularia racemosa	ITIS	503318
Ipomoea alba	scientific	Ipomoea alba	ITIS	30760
Batis maritima	scientific	Batis maritima	ITIS	192295
Borrichia frutescens	scientific	Borrichia frutescens	ITIS	35781
Rhabdadenia biflora	scientific	Rhabdadenia biflora	ITIS	30219
Sarcostemma clausum	scientific	Sarcostemma clausum	ITIS	30403
Tillandsia utriculata	scientific	Tillandsia utriculata	ITIS	42372
Trema micranthum	scientific	Trema micranthum	ITIS	19104
Toxicodendron radicans	scientific	Toxicodendron radicans	ITIS	28821
Vitis rotundifolia	scientific	Vitis rotundifolia	ITIS	28609
Agalinis linifolia	scientific	Agalinis linifolia	ITIS	33028
Sarcocornia ambigua	scientific	Salicornia ambigua	ITIS	520732
Suaeda linearis	scientific	Suaeda linearis	ITIS	20661
Dalbergia ecastaphyllum	scientific	Dalbergia ecastaphyllum	ITIS	26595
Eugenia axillaris	scientific	Eugenia axillaris	ITIS	27199
Sporobolus virginicus	scientific	Sporobolus virginicus	ITIS	42127
Juncus roemerianus	scientific	Juncus roemerianus	ITIS	39238
Thespesia populnea	scientific	Thespesia populnea	ITIS	21762
Coccoloba uvifera	scientific	Coccoloba uvifera	ITIS	21039
Lygodium microphyllum	scientific	Lygodium microphyllum	ITIS	17984
Sesuvium portulacastrum	scientific	Sesuvium portulacastrum	ITIS	19910
Piscidia piscipula	scientific	Piscidia piscipula	ITIS	26865
Uniola paniculata	scientific	Uniola paniculata	ITIS	41317
Andropogon glomeratus	scientific	Andropogon glomeratus	ITIS	40454
Imperata cylindrica	scientific	Imperata cylindrica	ITIS	41788
Alternanthera species	scientific	Alternanthera	ITIS	20763
Sarcocornia perennis	scientific	Sarcocornia perennis	ITIS	505012
Baccharis angustifolia	scientific	Baccharis angustifolia	ITIS	35683
Tillandsia species	scientific	Tillandsia	ITIS	42359
Smilax laurifolia	scientific	Smilax laurifolia	ITIS	43345
Lycium carolinianum	scientific	Lycium carolinianum	ITIS	30537
Nuphar lutea	scientific	Nuphar lutea	ITIS	503968
Vitis shuttleworthii	scientific	Vitis shuttleworthii	ITIS	28626
Dichanthelium dichotomum	scientific	Dichanthelium dichotomum	ITIS	41659
Solidago stricta	scientific	Solidago stricta	ITIS	36315
Conoclinium coelestinum	scientific	Conoclinium coelestinum	ITIS	511282
Ipomoea sagittata	scientific	Ipomoea sagittata	ITIS	30792
Paspalum vaginatum	scientific	Paspalum vaginatum	ITIS	41044
